Page,Nama Reviewer,Rating,Tanggal Review,Isi Review,Pas untuk Acara,Kualitas,Kenyamanan,Desain
1,johankentung,5,"2024-11-17 09:49 | Variasi: Hitam,3XL",Asalammualaikum barang sudah sampai dan saya Terima. Seleranya ok  enak di chat.  saya suka terimakasih dan semoga awet..,hajatan,jos,ok,-
1,uzjvt_i8qm,5,"2024-11-09 02:37 | Variasi: Hitam,3XL",Penjual ramah.td pesan xxl harusnya dr LD 120cm masuk.tp terima cm 112cm  jdnya nga muat.chat penjual buat retur ternyata di kasih retur.order lg 3xl ld 128cm dtg 124cm agak gedean sich ama postur tubuh tp gpp dr pd kesempitan.tq semoga makin sukses tokonya,pesta,bagus,nyaman,-
1,w*****9,5,"2025-02-06 18:39 | Variasi: Hitam,3XL","Jasnya cakep, halus, tebal, desainnya juga menarik, puas pokoknya order jas di sini",-,terjamin,-,menarik
1,b*****c,5,"2025-04-14 14:54 | Variasi: Hitam,5XL","Produk sangat bagus, kualitas sangat baik, tidak sepadan dengan harga yang hanya 200rb-an, sangat"" bagus",-,tidak sepadan dengan harga,sangat nyaman,"sangat bagus, tidak seperti kebanyakan"
1,kaa_collection,5,"2024-12-24 14:57 | Variasi: Hitam,5XL",Ukuran big size Jas dilengkapi furing Lebih baik beli daripada jahit Kalo jasnya seperti ini Mksh💘,resepsi kondangan rapat,bagus,nyaman banget,-
1,rhahminsyah,5,"2024-10-29 05:55 | Variasi: Hitam,5XL",Untuk yg sering pake ld 140 dan perut agak sedikit buncit ini pas.  Cuman tangan agak sedikit panjang.  Jadi bs di permak  selebihnya ok .,formal,lumayan,baik,-
2,faridaarkan20,5,"2025-04-12 14:52 | Variasi: Hitam,5XL","Dengan ukuran 5Xl sudah sangat pas di pundak dan lingkar dada saya mantab pokoknya, tapi sepertinya lengan atasnya kebesaran, dan bagian perutnya kebesaran tapi memang bentuk badan saya aja yg aneh mungkin, tapi bagi saya ini sangat bagus sudah, puas sekali dengan produknya, jahitannya bagus, over all good masalah kebesaran di bagian perut mah aman bisa di rombak sedikit sebelum hari H nanti 🙏 Thanks seller 🙏👍👍",-,-,sangat nyaman,Sangat bagus untuk harganya
2,wahyuning2olshop,5,"2024-11-08 12:59 | Variasi: Hitam,5XL","Makasih pesanan udah sampai, mudah2an pas di badan orangnya nti ....",-,-,-,-
2,hanifahmadfarhan.,5,"2024-11-13 10:10 | Variasi: Hitam,5XL",Alhamdulillah. Penjual Responsif dan Gercep Banget. Pengiriman Alhamdulillah Sesuai Yang diharapkan.  Semoga Barokah kedepannya,Formal,Oke,Pas di Badan,-
2,w*****2,3,"2025-01-30 09:38 | Variasi: Navy,4XL","Barang sesuai dengan harga ,harga tdk pernah bohong",-,lumayan,ok,sesuai harga
2,nightmare_rhexy,5,"2025-01-09 08:49 | Variasi: Hitam,4XL",Jasnya cukup nyaman dan cocok untuk dipakai ke acara - acara formal,-,baik,cukup nyaman,sesuai dengan gambar
2,nafisagaluh,5,"2024-12-21 22:20 | Variasi: Hitam,4XL",bahannya agak panas dikit kalo diluar ruangan ac,pas,baik,sangat nyaman,-
