Page,Nama Reviewer,Rating,Tanggal Review,Isi Review,Fungsi,Permukaan,Garansi,Kondisi,Kesan Umum
1,erna_yasmin,5,"2025-04-10 10:07 | Variasi: 128GB,Green",,bagus mulus,-,-,-,"bagus mulus,,nanti di update lagi setelah 3 bulan pemakaian"
1,j*****l,5,"2025-03-27 22:53 | Variasi: 128GB,White","dpt garansi kan ya untuk imeinya? signal si sampe sejauh ini masih aman ua bagus aja haha, mantap si",baik si sejauh ini,-,mau minta garansi,-,-
1,andikaprayga,5,"2025-03-29 01:33 | Variasi: 128GB,Green",Recomend banget nih,saat ini masih aman,-,-,-,-
1,r*****z,5,"2025-04-09 03:44 | Variasi: 64GB,White","barang sesuai, aman, dan overall bagus. saat ini masih bagus, semoga begitu seterusnya",-,-,-,-,-
1,monalisaoctavia072,5,"2025-04-13 01:01 | Variasi: 64GB,White","Order tgl 4 hb 98% pemakaian kurleb 10 hari turun jadi 95% tapi gpp wajar namanya second, body mulusss bgttt. Semoga awet hpnya",aman,body mulus no dent,-,produk diterima dgn baik,-
1,andikaprayga,5,"2025-04-15 13:29 | Variasi: 64GB,White",-,-,-,-,-,-
2,i*****s,5,"2025-03-26 15:07 | Variasi: 64GB,Black",-,-,-,-,-,-
2,nurfjri_,5,"2025-04-12 08:09 | Variasi: 128GB,Blue",-,-,-,-,-,-
2,ilhamvandama,5,"2025-04-25 19:11 | Variasi: 128GB,Blue",-,-,-,-,-,-
2,danialaisha,5,"2025-04-26 05:13 | Variasi: 128GB,White",-,-,-,-,-,-
2,desta_yohan4,5,"2025-04-18 09:17 | Variasi: 64GB,Green",-,-,-,-,-,-
2,alfathdwiprasetya,5,"2025-03-28 22:31 | Variasi: 128GB,Green",-,-,-,-,-,-
3,junitariska780,5,"2025-03-26 23:54 | Variasi: 128GB,Purple",-,-,-,-,-,-
3,intanmaylana206,5,"2025-04-18 21:18 | Variasi: 64GB,White",-,-,-,-,-,-
3,zafrandezza,5,"2025-04-21 07:34 | Variasi: 128GB,Black",-,-,-,-,-,-
3,adipagustiawan169,5,"2025-04-18 10:22 | Variasi: 64GB,Blue",-,-,-,-,-,-
3,jauharalulu.a,5,"2025-04-05 14:25 | Variasi: 128GB,White",-,-,-,-,-,-
3,8blrtga37l,5,"2025-04-16 09:42 | Variasi: 64GB,Black",-,-,-,-,-,-
4,otemskye,5,"2025-04-22 12:18 | Variasi: 128GB,Green",-,-,-,-,-,-
4,abdurrouf123_,5,"2025-04-23 17:23 | Variasi: 128GB,White",-,-,-,-,-,-
4,schatziem_,5,"2025-04-24 11:48 | Variasi: 128GB,Green",-,-,-,-,-,-
4,muhammmdareva,5,"2025-04-28 15:48 | Variasi: 64GB,White",-,-,-,-,-,-
4,setiaaptr,4,"2025-04-16 14:00 | Variasi: 128GB,Purple",-,-,-,-,-,-
4,rizalrezvec,5,"2025-04-19 22:45 | Variasi: 128GB,Black",-,-,-,-,-,-
5,erika_manda,4,"2025-04-22 20:18 | Variasi: 64GB,White",-,-,-,-,-,-
6,erika_manda,4,"2025-04-22 20:18 | Variasi: 64GB,White",-,-,-,-,-,-
